drug_name,medical_condition,activity,rx_otc,pregnancy_category,alcohol
venlafaxine,Bipolar Disorder,11,Rx,C,X
citalopram,Bipolar Disorder,9,Rx,C,X
carbamazepine,Bipolar Disorder,8,Rx,D,X
duloxetine,Bipolar Disorder,8,Rx,C,X
escitalopram,Bipolar Disorder,8,Rx,C,X
ziprasidone,Bipolar Disorder,6,Rx,C,X
clonidine,Bipolar Disorder,5,Rx,C,X
Symbyax,Bipolar Disorder,4,Rx,C,X
valproic acid,Bipolar Disorder,4,Rx,D,X
armodafinil,Bipolar Disorder,3,Rx,C,N
fluoxetine / olanzapine,Bipolar Disorder,3,Rx,C,X
Lamictal ODT,Bipolar Disorder,3,Rx,C,X
levetiracetam,Bipolar Disorder,3,Rx,C,X
Lithobid,Bipolar Disorder,3,Rx,D,X
Zyprexa Zydis,Bipolar Disorder,3,Rx,C,X
asenapine,Bipolar Disorder,2,Rx,C,X
desvenlafaxine,Bipolar Disorder,2,Rx,C,X
Equetro,Bipolar Disorder,2,Rx,D,X
iloperidone,Bipolar Disorder,2,Rx,C,X
Lamictal CD,Bipolar Disorder,2,Rx,C,X
paliperidone,Bipolar Disorder,2,Rx,C,X
perphenazine,Bipolar Disorder,2,Rx,N,X
Risperdal Consta,Bipolar Disorder,2,Rx,C,X
tiagabine,Bipolar Disorder,2,Rx,C,X
verapamil,Bipolar Disorder,2,Rx,C,X
Abilify MyCite,Bipolar Disorder,1,Rx,C,X
Depakote Sprinkles,Bipolar Disorder,1,Rx,D,X
Zyprexa Intramuscular,Bipolar Disorder,1,Rx,C,X
Mucinex,Bronchitis,85,Rx/OTC,C,N
azithromycin,Bronchitis,79,Rx,B,N
Azithromycin Dose Pack,Bronchitis,75,Rx,B,N
doxycycline,Bronchitis,67,Rx,D,X
amoxicillin,Bronchitis,46,Rx,B,N
guaifenesin,Bronchitis,46,Rx/OTC,C,N
levofloxacin,Bronchitis,40,Rx,C,N
Augmentin,Bronchitis,39,Rx,B,N
Levaquin,Bronchitis,32,Rx,C,N
Zithromax,Bronchitis,28,Rx,B,N
amoxicillin / clavulanate,Bronchitis,27,Rx,B,N
clarithromycin,Bronchitis,27,Rx,C,N
cefdinir,Bronchitis,25,Rx,B,N
ciprofloxacin,Bronchitis,21,Rx,C,N
Amoxil,Bronchitis,17,Rx,B,N
cefuroxime,Bronchitis,14,Rx,B,N
Avelox,Bronchitis,13,Rx,C,N
Cipro,Bronchitis,13,Rx,C,N
Bactrim,Bronchitis,11,Rx,D,X
erythromycin,Bronchitis,9,Rx,B,X
sulfamethoxazole / trimethoprim,Bronchitis,9,Rx,D,X
Bactrim DS,Bronchitis,8,Rx,D,X
Ceftin,Bronchitis,6,Rx,B,N
ceftriaxone,Bronchitis,6,Rx,B,N
Apo-Amoxi,Bronchitis,5,Rx,B,N
beclomethasone,Bronchitis,5,Rx,C,N
Doxy 100,Bronchitis,5,Rx,D,X
moxifloxacin,Bronchitis,5,Rx,C,N
cefixime,Bronchitis,4,Rx,B,N
Mucinex Maximum Strength,Bronchitis,4,Rx/OTC,C,N
Vibramycin,Bronchitis,4,Rx,D,X
Cipro I.V.,Bronchitis,3,Rx,C,N
Cipro XR,Bronchitis,3,Rx,C,N
Doryx,Bronchitis,3,Rx,D,X
Doryx MPC,Bronchitis,3,Rx,D,X
Monodox,Bronchitis,3,Rx,D,X
Morgidox,Bronchitis,3,Rx,D,X
Oraxyl,Bronchitis,3,Rx,D,X
Robafen,Bronchitis,3,Rx/OTC,C,N
Septra DS,Bronchitis,3,Rx,D,X
Augmentin XR,Bronchitis,2,Rx,B,N
Biaxin XL,Bronchitis,2,Rx,C,N
cefpodoxime,Bronchitis,2,Rx,B,N
cefprozil,Bronchitis,2,Rx,B,N
Ery-Tab,Bronchitis,2,Rx,B,X
Guaifenex G,Bronchitis,2,Rx/OTC,C,N
Septra,Bronchitis,2,Rx,D,X
Suprax,Bronchitis,2,Rx,B,N
tetracycline,Bronchitis,2,Rx,D,N
Achromycin V,Bronchitis,1,Rx,D,N
Ala-Tet,Bronchitis,1,Rx,D,N
Altarussin,Bronchitis,1,Rx/OTC,C,N
Amibid LA,Bronchitis,1,Rx/OTC,C,N
Amoclan,Bronchitis,1,Rx,B,N
ampicillin,Bronchitis,1,Rx,B,N
Balminil Expectorant,Bronchitis,1,Rx/OTC,C,N
Benylin E,Bronchitis,1,Rx/OTC,C,N
Bidex-400,Bronchitis,1,Rx/OTC,C,N
Brodspec,Bronchitis,1,Rx,D,N
Cefzil,Bronchitis,1,Rx,B,N
Co-trimoxazole,Bronchitis,1,Rx,D,X
dicloxacillin,Bronchitis,1,Rx,B,N
Drituss G,Bronchitis,1,Rx/OTC,C,N
E.E.S. Granules,Bronchitis,1,Rx,B,X
Eryc,Bronchitis,1,Rx,B,X
EryPed,Bronchitis,1,Rx,B,X
Erythrocin,Bronchitis,1,Rx,B,X
Erythrocin Lactobionate,Bronchitis,1,Rx,B,X
Fenesin IR,Bronchitis,1,Rx/OTC,C,N
Floxin,Bronchitis,1,Rx,C,N
gemifloxacin,Bronchitis,1,Rx,C,N
Guaifenex LA,Bronchitis,1,Rx/OTC,C,N
Guiatuss,Bronchitis,1,Rx/OTC,C,N
Hytuss,Bronchitis,1,Rx/OTC,C,N
Mucinex for Kids,Bronchitis,1,Rx/OTC,C,N
ofloxacin,Bronchitis,1,Rx,C,N
PCE Dispertab,Bronchitis,1,Rx,B,X
Scot-Tussin Expectorant,Bronchitis,1,Rx/OTC,C,N
Sulfatrim Pediatric,Bronchitis,1,Rx,D,X
Tussin Expectorant,Bronchitis,1,Rx/OTC,C,N
Xpect,Bronchitis,1,Rx/OTC,C,N
Zinacef,Bronchitis,1,Rx,B,N
Avelox I.V.,Bronchitis,0,Rx,C,N
cefaclor,Bronchitis,0,Rx,B,N
cilastatin / imipenem,Bronchitis,0,Rx,C,N
Difil-G Forte,Bronchitis,0,Rx,C,N
Dycill,Bronchitis,0,Rx,B,N
Dynapen,Bronchitis,0,Rx,B,N
dyphylline / guaifenesin,Bronchitis,0,Rx,C,N
Factive,Bronchitis,0,Rx,C,N
Primaxin IV,Bronchitis,0,Rx,C,N
carboplatin,Cancer,100,Rx,D,N
Leukeran,Cancer,43,Rx,D,N
chlorambucil,Cancer,36,Rx,D,N
fluorouracil,Cancer,24,Rx,D,N
doxorubicin,Cancer,22,Rx,D,N
etoposide,Cancer,18,Rx,D,N
cyclophosphamide,Cancer,17,Rx,D,N
vincristine,Cancer,13,Rx,D,N
Cosmegen,Cancer,10,Rx,D,N
Etopophos,Cancer,7,Rx,D,N
Ifex,Cancer,7,Rx,D,X
Toposar,Cancer,7,Rx,D,N
vinblastine,Cancer,7,Rx,D,N
Hycamtin,Cancer,6,Rx,D,N
ifosfamide,Cancer,6,Rx,D,X
dactinomycin,Cancer,5,Rx,D,N
fludarabine,Cancer,4,Rx,D,N
Tepadina,Cancer,4,Rx,D,N
thiotepa,Cancer,4,Rx,D,N
topotecan,Cancer,4,Rx,D,N
atorvastatin,Cholesterol,100,Rx,X,X
simvastatin,Cholesterol,53,Rx,X,X
Lipitor,Cholesterol,49,Rx,X,X
Zetia,Cholesterol,49,Rx,C,N
ezetimibe,Cholesterol,44,Rx,C,N
Crestor,Cholesterol,40,Rx,X,X
rosuvastatin,Cholesterol,31,Rx,X,X
pravastatin,Cholesterol,30,Rx,X,X
lovastatin,Cholesterol,14,Rx,X,X
Zocor,Cholesterol,14,Rx,X,X
gemfibrozil,Cholesterol,9,Rx,C,N
Vytorin,Cholesterol,9,Rx,X,X
Livalo,Cholesterol,7,Rx,X,X
niacin,Cholesterol,6,Rx/OTC,C,X
Altocor,Cholesterol,5,Rx,X,X
Niaspan,Cholesterol,5,Rx/OTC,C,X
Welchol,Cholesterol,5,Rx,B,N
Altoprev,Cholesterol,4,Rx,X,X
ezetimibe / simvastatin,Cholesterol,4,Rx,X,X
fenofibric acid,Cholesterol,4,Rx,C,N
Slo-Niacin,Cholesterol,3,Rx/OTC,C,X
colesevelam,Cholesterol,2,Rx,B,N
Ezallor,Cholesterol,2,Rx,X,X
FloLipid,Cholesterol,2,Rx,X,X
Lopid,Cholesterol,2,Rx,C,N
pitavastatin,Cholesterol,2,Rx,X,X
amlodipine / atorvastatin,Cholesterol,1,Rx,X,X
atorvastatin / ezetimibe,Cholesterol,1,Rx,X,X
fluvastatin,Cholesterol,1,Rx,X,X
Lescol XL,Cholesterol,1,Rx,X,X
mycophenolate mofetil,Cholesterol,1,Rx,D,N
Niacor,Cholesterol,1,Rx/OTC,C,X
Trilipix,Cholesterol,1,Rx,C,N
Caduet,Cholesterol,0,Rx,X,X
Fibricor,Cholesterol,0,Rx,C,N
Juxtapid,Cholesterol,0,Rx,X,X
lomitapide,Cholesterol,0,Rx,X,X
Lypqozet,Cholesterol,0,Rx,X,X
Zypitamag,Cholesterol,0,Rx,X,X
Benadryl,Colds & Flu,100,Rx/OTC,B,X
diphenhydramine,Colds & Flu,59,Rx/OTC,B,X
Vicks Nyquil D Cold and Flu Nighttime Relief,Colds & Flu,47,OTC,N,X
Vicks NyQuil Cold & Flu Nighttime Relief,Colds & Flu,46,OTC,N,X
chlorpheniramine,Colds & Flu,42,Rx/OTC,B,X
Coricidin HBP Cold & Flu,Colds & Flu,35,OTC,N,X
Vicks DayQuil Severe Cold & Flu,Colds & Flu,33,Rx/OTC,N,X
Benadryl Allergy,Colds & Flu,29,Rx/OTC,B,X
Vicks Dayquil Cold & Flu Relief,Colds & Flu,26,OTC,N,X
Vicks NyQuil Severe Cold & Flu,Colds & Flu,22,OTC,N,X
Promethazine DM,Colds & Flu,20,Rx,C,X
Tylenol Cold & Flu Severe,Colds & Flu,17,Rx/OTC,N,X
Vicks VapoRub,Colds & Flu,15,OTC,N,N
Coricidin HBP Maximum Strength Flu,Colds & Flu,13,OTC,N,X
Theraflu Nighttime Severe Cold & Cough,Colds & Flu,12,Rx/OTC,C,X
acetaminophen / chlorpheniramine / phenylephrine,Colds & Flu,10,Rx/OTC,N,X
Sudafed PE Cold & Cough,Colds & Flu,9,Rx/OTC,N,X
Banophen,Colds & Flu,8,Rx/OTC,B,X
Benadryl Allergy Plus Cold,Colds & Flu,8,Rx/OTC,C,X
pseudoephedrine / triprolidine,Colds & Flu,8,Rx/OTC,C,X
Tussionex Pennkinetic,Colds & Flu,8,Rx,C,X
Chlor-Trimeton,Colds & Flu,7,Rx/OTC,B,X
Diphedryl,Colds & Flu,7,Rx/OTC,B,X
Diphen,Colds & Flu,7,Rx/OTC,B,X
Complete Allergy Relief,Colds & Flu,6,Rx/OTC,B,X
Tylenol Cold,Colds & Flu,6,OTC,N,X
Allermax,Colds & Flu,5,Rx/OTC,B,X
Bronkaid,Colds & Flu,5,Rx/OTC,N,N
Dicopanol,Colds & Flu,5,Rx/OTC,B,X
Dytuss,Colds & Flu,5,Rx/OTC,B,X
Mucinex Fast-Max Night Time Cold & Flu,Colds & Flu,5,Rx/OTC,C,X
Scot-Tussin Allergy,Colds & Flu,5,Rx/OTC,B,X
Siladryl Allergy,Colds & Flu,5,Rx/OTC,B,X
Sudafed PE Sinus & Allergy,Colds & Flu,5,Rx/OTC,N,X
Twilite,Colds & Flu,5,Rx/OTC,B,X
Tylenol Cold Multi-Symptom Severe,Colds & Flu,5,Rx/OTC,N,X
Valu-Dryl,Colds & Flu,5,Rx/OTC,B,X
Vanamine PD,Colds & Flu,5,Rx/OTC,B,X
Virtussin DAC,Colds & Flu,5,Rx/OTC,C,X
Benadryl Allergy Plus Sinus Headache,Colds & Flu,4,Rx/OTC,C,X
Primatene,Colds & Flu,4,Rx/OTC,N,N
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Colds & Flu,3,OTC,N,X
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Colds & Flu,3,Rx/OTC,N,X
acetaminophen / dextromethorphan / phenylephrine,Colds & Flu,3,OTC,N,X
Aller-Chlor,Colds & Flu,3,Rx/OTC,B,X
Allergy Relief,Colds & Flu,3,Rx/OTC,B,X
brompheniramine,Colds & Flu,3,Rx/OTC,C,X
Mucinex Fast-Max Severe Cold,Colds & Flu,3,Rx/OTC,N,X
Mucinex Fast-Max Severe Congestion & Cold,Colds & Flu,3,Rx/OTC,N,X
Sudafed PE Pressure+Pain+Cold,Colds & Flu,3,Rx/OTC,N,X
Sudafed PE Severe Cold,Colds & Flu,3,Rx/OTC,C,X
Tylenol Cold Max Day,Colds & Flu,3,OTC,N,X
Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),Colds & Flu,3,OTC,N,X
Wal-finate,Colds & Flu,3,Rx/OTC,B,X
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Colds & Flu,2,OTC,N,X
acetaminophen / chlorpheniramine,Colds & Flu,2,OTC,N,X
Actifed Cold and Allergy,Colds & Flu,2,Rx/OTC,N,X
Advil Allergy Sinus,Colds & Flu,2,OTC,D,X
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,Colds & Flu,2,OTC,N,X
Aprodine,Colds & Flu,2,Rx/OTC,C,X
aspirin / chlorpheniramine / phenylephrine,Colds & Flu,2,OTC,N,X
C.P.M.,Colds & Flu,2,Rx/OTC,B,X
camphor / eucalyptus / menthol,Colds & Flu,2,OTC,N,N
Cheratussin DAC,Colds & Flu,2,Rx/OTC,C,X
Chlo-Amine,Colds & Flu,2,Rx/OTC,B,X
Chlor-Mal,Colds & Flu,2,Rx/OTC,B,X
chlorpheniramine / hydrocodone,Colds & Flu,2,Rx,C,X
chlorpheniramine / phenylephrine,Colds & Flu,2,Rx/OTC,N,X
ChlorTan,Colds & Flu,2,Rx/OTC,B,X
codeine / guaifenesin / pseudoephedrine,Colds & Flu,2,Rx/OTC,C,X
Coricidin HBP Nighttime Multi-Symptom Cold,Colds & Flu,2,OTC,N,X
dextromethorphan / promethazine,Colds & Flu,2,Rx,C,X
diphenhydramine / phenylephrine,Colds & Flu,2,Rx/OTC,C,X
Drixoral Cold and Allergy,Colds & Flu,2,Rx/OTC,C,X
Ed-Chlortan,Colds & Flu,2,Rx/OTC,B,X
Ed A-Hist,Colds & Flu,2,Rx/OTC,N,X
Ed ChlorPed,Colds & Flu,2,Rx/OTC,B,X
Ed Chlor Ped Jr.,Colds & Flu,2,Rx/OTC,B,X
ephedrine / guaifenesin,Colds & Flu,2,Rx/OTC,N,N
Robitussin Peak Cold Nighttime Nasal Relief,Colds & Flu,2,Rx/OTC,N,X
Theraflu Daytime Severe Cold & Cough,Colds & Flu,2,OTC,N,X
TussiCaps,Colds & Flu,2,Rx,C,X
Tylenol Cold Multi-Symptom Nighttime,Colds & Flu,2,OTC,N,X
A-Phedrin,Colds & Flu,1,Rx/OTC,C,X
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,Colds & Flu,1,OTC,N,X
acetaminophen / dextromethorphan / doxylamine / phenylephrine,Colds & Flu,1,OTC,N,X
acetaminophen / dextromethorphan / doxylamine,Colds & Flu,1,OTC,N,X
acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,Colds & Flu,1,Rx/OTC,N,X
acetaminophen / dextromethorphan / pseudoephedrine,Colds & Flu,1,OTC,N,X
acetaminophen / diphenhydramine / phenylephrine,Colds & Flu,1,Rx/OTC,C,X
acetaminophen / pheniramine / phenylephrine,Colds & Flu,1,OTC,N,X
Advil Congestion Relief,Colds & Flu,1,OTC,D,X
Advil Sinus Congestion & Pain,Colds & Flu,1,OTC,D,X
Ala-Hist PE,Colds & Flu,1,OTC,C,X
Alka-Seltzer Plus-D Multi-Symptom Sinus & Cold Liquid Gels,Colds & Flu,1,OTC,N,X
Allergy Multi-Symptom,Colds & Flu,1,Rx/OTC,N,X
Biotussin DAC,Colds & Flu,1,Rx/OTC,C,X
Bromatan Plus,Colds & Flu,1,Rx/OTC,C,X
Bromax,Colds & Flu,1,Rx/OTC,C,X
camphor,Colds & Flu,1,Rx/OTC,C,N
Capron DM,Colds & Flu,1,OTC,N,X
Children's Triacting Night Time,Colds & Flu,1,Rx/OTC,C,X
Childrens Tylenol Cold Plus Cough,Colds & Flu,1,OTC,N,X
Chlo Hist,Colds & Flu,1,OTC,C,X
chlophedianol / pyrilamine,Colds & Flu,1,OTC,C,X
chlorpheniramine / ibuprofen / pseudoephedrine,Colds & Flu,1,OTC,D,X
chlorpheniramine / phenylephrine / pyrilamine,Colds & Flu,1,Rx,C,X
Cold Multi-Symptom (Nighttime),Colds & Flu,1,OTC,N,X
Comtrex Cold and Cough Maximum Strength,Colds & Flu,1,OTC,N,X
Comtrex Cold and Flu Maximum Strength Tablet,Colds & Flu,1,OTC,N,X
Contac Cold + Flu (Night Formula),Colds & Flu,1,Rx/OTC,N,X
Delsym Cough+ Cold Day Time,Colds & Flu,1,Rx/OTC,N,X
Delsym Cough+ Cold Night Time,Colds & Flu,1,Rx/OTC,C,X
Deltuss DMX,Colds & Flu,1,Rx/OTC,C,X
dexbrompheniramine / pseudoephedrine,Colds & Flu,1,Rx/OTC,C,X
dextromethorphan / phenylephrine / pyrilamine,Colds & Flu,1,Rx/OTC,C,X
dextromethorphan / phenylephrine / triprolidine,Colds & Flu,1,OTC,N,X
Diabetic Tussin Night Time Formula,Colds & Flu,1,OTC,C,X
Dologen,Colds & Flu,1,OTC,N,X
doxylamine / phenylephrine,Colds & Flu,1,OTC,N,X
Dristan Cold Multi Symptom Formula,Colds & Flu,1,Rx/OTC,N,X
Flutabs,Colds & Flu,1,Rx/OTC,N,X
ibuprofen / phenylephrine,Colds & Flu,1,OTC,D,X
"Mucinex Children's Cold, Cough & Sore Throat",Colds & Flu,1,Rx/OTC,N,X
Ninjacof,Colds & Flu,1,OTC,C,X
Norel AD,Colds & Flu,1,Rx/OTC,N,X
phenylephrine / promethazine,Colds & Flu,1,Rx,C,X
Poly-Tussin AC,Colds & Flu,1,Rx,C,X
Poly Hist Forte,Colds & Flu,1,OTC,N,X
Robitussin Peak Cold Nighttime Cold + Flu,Colds & Flu,1,OTC,N,X
Ru-Hist Forte,Colds & Flu,1,Rx,C,X
Sinus & Allergy PE,Colds & Flu,1,Rx/OTC,N,X
Sudafed PE Head Congestion + Pain,Colds & Flu,1,OTC,D,X
Sudafed PE Pressure+Pain+Cough,Colds & Flu,1,OTC,N,X
Theraflu Flu & Sore Throat,Colds & Flu,1,OTC,N,X
Theraflu Nighttime Severe Cold & Cough Caplets,Colds & Flu,1,OTC,N,X
Theraflu Sinus & Cold,Colds & Flu,1,OTC,N,X
Theraflu Warming Relief Daytime Severe Cold & Cough,Colds & Flu,1,OTC,N,X
Theraflu Warming Relief Nighttime Severe Cold & Cough,Colds & Flu,1,Rx/OTC,C,X
Triaminic Multi-Symptom Fever,Colds & Flu,1,OTC,N,X
Tylenol Children’s Cold + Cough + Runny Nose,Colds & Flu,1,OTC,N,X
Tylenol Children’s Cold + Flu,Colds & Flu,1,OTC,N,X
Tylenol Cold & Cough Nighttime,Colds & Flu,1,OTC,N,X
Tylenol Cold Multi-Symptom Nighttime Liquid,Colds & Flu,1,OTC,N,X
Tylenol Plus Children's Cold,Colds & Flu,1,Rx/OTC,N,X
Tylenol Sinus Congestion & Pain Nighttime,Colds & Flu,1,Rx/OTC,N,X
Vicks VapoSteam,Colds & Flu,1,Rx/OTC,C,N
Abatuss DMX,Colds & Flu,0,Rx/OTC,C,X
acetaminophen / caffeine,Colds & Flu,0,OTC,N,X
acetaminophen / chlorpheniramine / dextromethorphan / guaifenesin,Colds & Flu,0,OTC,N,X
acetaminophen / chlorpheniramine / dextromethorphan,Colds & Flu,0,OTC,N,X
acetaminophen / dexbrompheniramine,Colds & Flu,0,OTC,N,X
acetaminophen / dextromethorphan / diphenhydramine,Colds & Flu,0,OTC,C,X
acetaminophen / dextromethorphan,Colds & Flu,0,OTC,N,X
Advil Children's Allergy Sinus,Colds & Flu,0,OTC,D,X
Allan Tannate Pediatric,Colds & Flu,0,Rx/OTC,N,X
Allerest PE,Colds & Flu,0,Rx/OTC,N,X
Allerfrim,Colds & Flu,0,Rx/OTC,C,X
Ambifed CD,Colds & Flu,0,Rx/OTC,C,X
Aphedrid,Colds & Flu,0,Rx/OTC,C,X
Avedana Medicated Chest Rub,Colds & Flu,0,OTC,N,N
Benadryl Allergy Plus Congestion,Colds & Flu,0,Rx/OTC,C,X
BP Allergy JR,Colds & Flu,0,Rx/OTC,N,X
brompheniramine / codeine / phenylephrine,Colds & Flu,0,Rx,C,X
C-Tanna 12,Colds & Flu,0,Rx,C,X
camphor / menthol,Colds & Flu,0,OTC,N,N
Capron DMT,Colds & Flu,0,OTC,N,X
carbetapentane / chlorpheniramine,Colds & Flu,0,Rx,C,X
Children's Triacting,Colds & Flu,0,OTC,N,X
chlophedianol / dexbrompheniramine,Colds & Flu,0,OTC,C,X
chlophedianol / dexchlorpheniramine / pseudoephedrine,Colds & Flu,0,Rx/OTC,C,X
chlorcyclizine / phenylephrine,Colds & Flu,0,OTC,N,X
Chlorex-A 12,Colds & Flu,0,Rx,C,X
Chlorex A,Colds & Flu,0,Rx/OTC,C,X
chlorpheniramine / codeine / pseudoephedrine,Colds & Flu,0,Rx/OTC,N,X
chlorpheniramine / codeine,Colds & Flu,0,Rx/OTC,C,X
chlorpheniramine / phenylephrine / phenyltoloxamine,Colds & Flu,0,Rx/OTC,C,X
ChlorTan D,Colds & Flu,0,Rx/OTC,N,X
Clear Cough PM Multi-Symptom,Colds & Flu,0,OTC,N,X
Codar AR,Colds & Flu,0,Rx/OTC,C,X
Codimal DM,Colds & Flu,0,Rx/OTC,C,X
Coditussin DAC,Colds & Flu,0,Rx/OTC,C,X
Comtrex Cold & Cough,Colds & Flu,0,OTC,N,X
Comtrex Nighttime Cold & Cough,Colds & Flu,0,OTC,N,X
Comtrex Severe Cold & Sinus,Colds & Flu,0,Rx/OTC,N,X
Conal,Colds & Flu,0,Rx,C,X
Conex,Colds & Flu,0,Rx/OTC,C,X
Contac Cold + Flu (Night) Cooling Relief Liquid,Colds & Flu,0,OTC,N,X
Dallergy,Colds & Flu,0,OTC,N,X
Dallergy Drops,Colds & Flu,0,Rx/OTC,N,X
Decorel Forte Plus,Colds & Flu,0,Rx/OTC,N,X
Delsym Cough & Sore Throat,Colds & Flu,0,OTC,N,X
Delsym Night Time Multi-Symptom,Colds & Flu,0,OTC,N,X
dexbrompheniramine / phenylephrine,Colds & Flu,0,OTC,C,X
dexchlorpheniramine / dextromethorphan / pseudoephedrine,Colds & Flu,0,Rx/OTC,C,X
dextromethorphan / diphenhydramine / phenylephrine,Colds & Flu,0,Rx/OTC,C,X
dextromethorphan / pyrilamine,Colds & Flu,0,OTC,N,X
Dixaphedrine,Colds & Flu,0,Rx/OTC,C,X
Duraflu,Colds & Flu,0,Rx/OTC,N,X
Dytan-D,Colds & Flu,0,Rx/OTC,C,X
Dytan-DM,Colds & Flu,0,Rx/OTC,C,X
Ed ChlorPed D,Colds & Flu,0,Rx/OTC,N,X
Excedrin Quick Tab,Colds & Flu,0,OTC,N,X
Excedrin Tension Headache,Colds & Flu,0,OTC,N,X
Fast Freeze,Colds & Flu,0,OTC,N,N
Flu & Severe Cold & Cough Daytime Powder,Colds & Flu,0,OTC,N,X
Freeze It,Colds & Flu,0,OTC,N,N
GNP Cold Relief Plus,Colds & Flu,0,Rx/OTC,N,X
Guaifen DAC,Colds & Flu,0,Rx/OTC,C,X
Histafed,Colds & Flu,0,Rx/OTC,C,X
Histex-DM,Colds & Flu,0,OTC,N,X
Histex-PE,Colds & Flu,0,OTC,N,X
Lortuss EX,Colds & Flu,0,Rx/OTC,C,X
M-End PE,Colds & Flu,0,Rx,C,X
Medicidin-D,Colds & Flu,0,Rx/OTC,N,X
Nalex-A,Colds & Flu,0,Rx/OTC,C,X
Nalex A 12,Colds & Flu,0,Rx,C,X
NoHist LQ,Colds & Flu,0,Rx/OTC,N,X
Novahistine,Colds & Flu,0,Rx/OTC,N,X
Onset Forte,Colds & Flu,0,Rx/OTC,N,X
Panatuss PED,Colds & Flu,0,OTC,C,X
Phena-Plus,Colds & Flu,0,Rx,C,X
Phenagil,Colds & Flu,0,Rx/OTC,N,X
phenylephrine / triprolidine,Colds & Flu,0,Rx/OTC,N,X
Robitussin Peak Cold Daytime Cold + Flu,Colds & Flu,0,OTC,N,X
SuTan-DM,Colds & Flu,0,Rx/OTC,C,X
Tannic-12 S,Colds & Flu,0,Rx,C,X
Theracaps Multi-Symptom Cough & Cold Reliever,Colds & Flu,0,OTC,N,X
Triaminic Softchews Cough & Sore Throat,Colds & Flu,0,OTC,N,X
Tricode GF,Colds & Flu,0,Rx/OTC,C,X
Tusnel C,Colds & Flu,0,Rx/OTC,C,X
Tuzistra XR,Colds & Flu,0,Rx/OTC,C,X
Tylenol Allergy Multi-Symptom,Colds & Flu,0,Rx/OTC,N,X
Tylenol Children’s Cold + Cough + Sore Throat,Colds & Flu,0,OTC,N,X
Tylenol Cough & Sore Throat Nightime,Colds & Flu,0,OTC,N,X
Tylenol Cough and Sore Throat Daytime,Colds & Flu,0,OTC,N,X
Vanacof,Colds & Flu,0,Rx,C,X
Vi-Sudo,Colds & Flu,0,Rx/OTC,C,X
Vicks Formula 44 Custom Care Cough & Cold PM,Colds & Flu,0,OTC,N,X
Zodryl DAC,Colds & Flu,0,Rx/OTC,N,X
docusate,Constipation,100,Rx/OTC,N,N
MiraLAX,Constipation,75,Rx/OTC,C,N
Colace,Constipation,66,Rx/OTC,N,N
Dulcolax,Constipation,45,OTC,B,N
bisacodyl,Constipation,32,OTC,B,N
polyethylene glycol 3350,Constipation,30,Rx/OTC,C,N
Dulcolax Stool Softener,Constipation,25,Rx/OTC,N,N
Milk of Magnesia,Constipation,22,Rx/OTC,N,N
magnesium oxide,Constipation,21,Rx/OTC,C,N
magnesium citrate,Constipation,18,Rx/OTC,C,N
Metamucil,Constipation,17,OTC,N,N
Citrucel,Constipation,15,Rx/OTC,N,N
Doc-Q-Lace,Constipation,12,Rx/OTC,N,N
FiberCon,Constipation,11,OTC,N,N
Phillips' Milk of Magnesia,Constipation,10,Rx/OTC,N,N
DOK,Constipation,8,Rx/OTC,N,N
Fleet Enema,Constipation,8,Rx/OTC,C,N
GlycoLax,Constipation,8,Rx/OTC,C,N
psyllium,Constipation,8,OTC,N,N
magnesium hydroxide,Constipation,7,Rx/OTC,N,N
Surfak,Constipation,7,Rx/OTC,N,N
Enemeez Mini,Constipation,6,Rx/OTC,N,N
Bisa-Lax,Constipation,5,OTC,B,N
ClearLax,Constipation,5,Rx/OTC,C,N
Colace Micro-Enema,Constipation,5,Rx/OTC,N,N
Correctol,Constipation,5,OTC,B,N
Diocto,Constipation,5,Rx/OTC,N,N
Fleet Bisacodyl,Constipation,5,OTC,B,N
Phillips' Cramp-free,Constipation,4,Rx/OTC,C,N
Citrate of Magnesia,Constipation,3,Rx/OTC,C,N
GaviLAX,Constipation,3,Rx/OTC,C,N
Gialax,Constipation,3,Rx/OTC,C,N
Mag-Oxide,Constipation,3,Rx/OTC,C,N
PEG3350,Constipation,3,Rx/OTC,C,N
Purelax,Constipation,3,Rx/OTC,C,N
SunMark ClearLax,Constipation,3,Rx/OTC,C,N
Uro-Mag,Constipation,3,Rx/OTC,C,N
Citroma,Constipation,2,Rx/OTC,C,N
glycerin,Constipation,2,Rx/OTC,C,N
Hydrocil,Constipation,2,OTC,N,N
Konsyl,Constipation,2,OTC,N,N
methylcellulose,Constipation,2,Rx/OTC,N,N
Reguloid,Constipation,2,OTC,N,N
sodium biphosphate / sodium phosphate,Constipation,2,Rx/OTC,C,N
Disposable Enema,Constipation,1,Rx/OTC,C,N
Dulcolax Milk of Magnesia,Constipation,1,Rx/OTC,N,N
Equalactin,Constipation,1,OTC,N,N
